companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified,api_enrichment_status,api_error_message,is_qualified,qualification_reason,api_raw_response_preview,api_confidence_score,api_notes,api_findings,api_company_linkedin,api_website,api_num_employees,api_industry,api_short_summary,api_has_div8_estimators,api_icp_match,api_logic,api_lead_linkedin_profiles,api_decision_makers,api_estimator_leads,api_lead_count,api_relevant_lead_count
Millway Lumber Ltd.,https://www.thomasnet.com/company/millway-lumber-ltd-30690007/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=59,"Concord, ON L4K3W6",,Distributor*,$5 - 9.9 Mil Revenue,1987.0,,No,Failed or No Data,Unexpected error for Millway Lumber Ltd.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Millway Lumber Ltd.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Menuiserie Belisle Inc.,https://www.thomasnet.com/company/menuiserie-belisle-inc-30684425/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=59,"Saint-Jean-de-Dieu, QC G0L3M0",,Manufacturer*,$1 - 4.9 Mil Revenue,1971.0,,No,Failed or No Data,Unexpected error for Menuiserie Belisle Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Menuiserie Belisle Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
OneCallReno: Windows and Doors Replacement Toronto,https://www.thomasnet.com/company/onecallreno-windows-and-doors-replacement-toronto-30706947/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"North York, ON M3J2H2",,Manufacturers' Rep*,,2004.0,,No,Failed or No Data,Unexpected error for OneCallReno: Windows and Doors Replacement Toronto: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for OneCallReno: Windows and Doors Replacement Toronto: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Gandy Glass Company,https://www.thomasnet.com/company/gandy-glass-company-10015750/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"Wilmington, CA 90744",,"Manufacturer* , Service Company",$1 Mil Revenue,1952.0,"Manufacturer of shower and tub enclosures for residential and commercial sectors. Products include windows, mirrors, glass enclosures, showers, doors, partitions, rails, railings, table tops and windbreaks.",No,Failed or No Data,"HTTP error for Gandy Glass Company: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Gandy Glass Company: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Raymond EMC Enclosures Ltd.,https://www.thomasnet.com/company/raymond-emc-enclosures-ltd-30798610/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"Orleans, ON K1C7G4",/_sda/_next/image?url=https%3A%2F%2Freports.thomasnet.com%2Ftnetdash%2Flogos%2Fraymondemc.JPG&w=256&q=75,Turnkey Systems Integrator*,$1 - 4.9 Mil Revenue,,"Design and installation of enclosure systems. Products include doors, shielding, chambers, cabinets, filters, vents, and pipe penetrations. Markets served include military, government, industrial, and medical sectors.",No,Failed or No Data,"HTTP error for Raymond EMC Enclosures Ltd.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Raymond EMC Enclosures Ltd.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
"Railco, Inc.",https://www.thomasnet.com/company/railco-inc-776949/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"Hialeah, FL 33012",,Custom Manufacturer*,$1 Mil Revenue,1990.0,Custom manufacturing of metal fabrications.,No,Failed or No Data,"HTTP error for Railco, Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Railco, Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
OneCallReno: Windows and Doors Replacement Toronto,https://www.thomasnet.com/company/onecallreno-windows-and-doors-replacement-toronto-30706947/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"North York, ON M3J2H2",,Manufacturers' Rep*,,2004.0,,No,Failed or No Data,Unexpected error for OneCallReno: Windows and Doors Replacement Toronto: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for OneCallReno: Windows and Doors Replacement Toronto: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Muhler,https://www.thomasnet.com/company/muhler-30824969/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"Charleston, SC 29407",,Custom Manufacturer*,$10 - 24.9 Mil Revenue,,"Custom manufacturer of doors and windows for residential and commercial sectors. Products include shutters, skylights, awnings and sunrooms.",No,Failed or No Data,"HTTP error for Muhler: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Muhler: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Kern Glass & Aluminum Co.,https://www.thomasnet.com/company/kern-glass-aluminum-co-1299575/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=60,"Bakersfield, CA 93305",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Fkernglass.com.png&w=256&q=75,"Custom Manufacturer* , Service Company",$1 - 4.9 Mil Revenue,1948.0,"Custom manufacturer of glass products for residential and commercial sectors. Products include aluminum storefronts and entrances, hollow metal doors and frames, glazing, tabletops, shelving, shower enclosures, baseboards and crown moldings.",No,Failed or No Data,"HTTP error for Kern Glass & Aluminum Co.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Kern Glass & Aluminum Co.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Dover Company,https://www.thomasnet.com/company/dover-company-30204570/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=59,"Flint, MI 48503",,"Manufacturer* , Service Company",$1 Mil Revenue,1936.0,"Manufacturer of garage, interior, exterior, entry, overhead and fire safety doors. Grilles, openers, loading docks, post protectors and security gates are available. Installation, repair and maintenance services are also offered. 24/7 emergency services are provided.",No,Failed or No Data,"HTTP error for Dover Company: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Dover Company: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
