companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified,api_enrichment_status,api_error_message,is_qualified,qualification_reason,api_raw_response_preview,api_confidence_score,api_notes,api_findings,api_company_linkedin,api_website,api_num_employees,api_industry,api_short_summary,api_has_div8_estimators,api_icp_match,api_logic,api_lead_linkedin_profiles,api_decision_makers,api_estimator_leads,api_lead_count,api_relevant_lead_count
Kesseli & Morse Co.,https://www.thomasnet.com/company/kesseli-morse-co-10113676/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=39,"Worcester, MA 01603",,Service Company*,,,,No,Failed or No Data,Unexpected error for Kesseli & Morse Co.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Kesseli & Morse Co.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Vitrerie Coupe-Froid St-Georges Inc.,https://www.thomasnet.com/company/vitrerie-coupe-froid-st-georges-inc-30684373/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=39,"Saint-Georges, QC G5Y1W9",,Distributor*,$1 - 4.9 Mil Revenue,1986.0,,No,Failed or No Data,Unexpected error for Vitrerie Coupe-Froid St-Georges Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Vitrerie Coupe-Froid St-Georges Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Zimmcor (1993) Inc.,https://www.thomasnet.com/company/zimmcor-1993-inc-30688119/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=40,"Concord, ON L4K1J9",,Manufacturer*,$10 - 24.9 Mil Revenue,1993.0,,No,Failed or No Data,Unexpected error for Zimmcor (1993) Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Zimmcor (1993) Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Performance Windows & Doors Inc.,https://www.thomasnet.com/company/performance-windows-doors-inc-30702351/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=40,"Woodbridge, ON L4L8A8",,Manufacturer*,$5 - 9.9 Mil Revenue,1993.0,,No,Failed or No Data,Unexpected error for Performance Windows & Doors Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Performance Windows & Doors Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Fenetres MQ Inc.,https://www.thomasnet.com/company/fenetres-mq-inc-30695800/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=41,"Montreal, QC H2Y1Z8",,Manufacturers' Rep*,$1 - 4.9 Mil Revenue,1975.0,,No,Failed or No Data,Unexpected error for Fenetres MQ Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Fenetres MQ Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
"Mills, John Ornamental Iron Work",https://www.thomasnet.com/company/mills-john-ornamental-iron-work-106468/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=41,"Elizabethtown, KY 42701",,Custom Manufacturer*,,1979.0,"Custom manufacturer of steel products. Types include doors, fences, gates, balconies, railings, spiral staircases, tables, mailboxes and fire pits.",No,Failed or No Data,"HTTP error for Mills, John Ornamental Iron Work: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Mills, John Ornamental Iron Work: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Cheney Metal Works,https://www.thomasnet.com/company/cheney-metal-works-30744592/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=40,"Watsonville, CA 95076",,Custom Manufacturer*,$1 Mil Revenue,2011.0,"Custom manufacturer of architectural and sculptural metal-smiting for interior, exterior and public spaces. Products such as gates, railings, staircases, hardware, furniture, fountains, fireplaces, doors, fences and sculpture are available. Markets served include commercial and residential.",No,Failed or No Data,"HTTP error for Cheney Metal Works: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Cheney Metal Works: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
I Lock New York Inc.,https://www.thomasnet.com/company/i-lock-new-york-inc-30772128/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=40,"Flushing, NY 11366",,Service Company*,,,"Residential and commercial locksmiths. Providing custom doors for residential and commercial sectors. Safes, iron gates, window guards and coverings, high security locks, door control systems and master key systems can be installed. Custom door installation and repair, maintenance, replacement and duplicate key cutting and re-keying locks services are available. 24 hour emergency services are also available.",No,Failed or No Data,"HTTP error for I Lock New York Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for I Lock New York Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Unlimited NSN,https://www.thomasnet.com/company/unlimited-nsn-30872962/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=40,"Irvine, CA 92606",,"Manufacturers' Rep* , Distributor",,2020.0,"Distributor of aircraft parts including bearings, fasteners and hardware. Helicopter rotor drive system, flight instruments and drone propeller parts, bearing caps, cups, brakes, anodes, fasteners, grease, locknuts, lugs, plates, rings, reagents, tool kits, valves and turbines are available.",No,Failed or No Data,"HTTP error for Unlimited NSN: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Unlimited NSN: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Alliance Garage Doors LLC,https://www.thomasnet.com/company/alliance-garage-doors-llc-30715304/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=39,"Lebanon, MO 65536",,Distributor*,$1 Mil Revenue,2010.0,"Distributor of doors. Products include garage doors, overhead doors, entry doors and central vacuum systems. Garage doors are available in ultra-grain paint such as dark oak, medium oak, walnut and cherry. Also provide installation and maintenance services.",No,Failed or No Data,"HTTP error for Alliance Garage Doors LLC: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Alliance Garage Doors LLC: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
