zipCode;type;name;nmls;url;extractFile;status;website;email;phone
98001;company;CUSTOMER FIRST LENDING LLC;2510434;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2510434;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_2510434.html;processed;www.customerfirstlending.com;chris.qualitymg@comcast.net;253-292-8500
98001;company;Fairway Independent Mortgage Corporation;2289;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_2289.html;processed;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800
98001;company;Home Field Lending LLC;1987876;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1987876;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_1987876.html;processed;www.homefieldlending.com;dario@hflteam.com;702-906-7848
98001;company;Mortgage Solutions of Colorado, LLC;61602;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/61602;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_61602.html;processed;www.AgAmerica.net, www.mortgagesolutions.net;Licensing@mortgagesolutions.net;719-447-0325
98001;company;Rocket Mortgage, LLC;3030;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_3030.html;processed;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564
98001;company;Academy Mortgage Corporation;3113;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3113;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_3113.html;processed;www.academymortgage.com;notice@academymortgage.com;801-233-3700
98001;company;Guild Mortgage Company LLC;3274;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3274;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_3274.html;processed;www.guildcorrespondent.com, www.guildmortgage.com;compliance@guildmortgage.net;858-560-6330
98001;company;Lennar Mortgage, LLC;1058;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1058;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_1058.html;processed;www.LennarMortgage.com;ComplianceTeam@LennarMortgage.com;305-229-6500
98001;company;Polygon Mortgage, LLC;1133763;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1133763;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_1133763.html;processed;www.polygonmortgage.com;treacy.fenton@lyonhomes.com;949-476-5486
98001;company;Walmart Inc.;1239954;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1239954;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98001/COMPANY/COMPANY_1239954.html;processed;www.wal-mart.com;complic@wal-mart.com;479-204-6148
98002;company;HBT Mortgage LLC;1735836;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1735836;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98002/COMPANY/COMPANY_1735836.html;processed;https://www.hbtmortgage.com/;terri.briones@hbtmortgage.com;253-929-4661
98002;company;Primerica Mortgage, LLC;1723477;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1723477;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98002/COMPANY/COMPANY_1723477.html;processed;https://www.primerica.com/public/primerica-mortgage.html, https://www.primerica.com/public/primerica_mortgage_disclosures.html., www.primericamortgage.com;primericamortgage@primerica.com;470-564-5908
98002;company;Rocket Mortgage, LLC;3030;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98002/COMPANY/COMPANY_3030.html;processed;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564
98002;company;State Farm International Services, Inc;110089;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/110089;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98002/COMPANY/COMPANY_110089.html;processed;Not provided;roger.bainbridge.lvei@statefarm.com;309-766-9810
98002;company;Fairway Independent Mortgage Corporation;2289;https://nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/washington/98002/COMPANY/COMPANY_2289.html;processed;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800
